2026-02-16 15:34:47,276 | INFO | backup | JSON backup updated: 3 file(s)
2026-02-16 15:35:07,735 | INFO | uvicorn.access | 157.254.167.10:0 - "GET /threads/parsers HTTP/1.1" 200
2026-02-16 15:35:09,369 | INFO | uvicorn.access | 157.254.167.10:0 - "GET /api/threads/parsers HTTP/1.1" 200
2026-02-16 15:35:09,371 | INFO | uvicorn.access | 127.0.0.1:57443 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 15:35:11,479 | INFO | uvicorn.access | 127.0.0.1:57470 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 15:35:12,011 | INFO | uvicorn.access | 157.254.167.10:0 - "POST /api/threads/parsers/control HTTP/1.1" 200
2026-02-16 15:35:13,029 | INFO | uvicorn.access | 157.254.167.10:0 - "GET /api/threads/parsers HTTP/1.1" 200
2026-02-16 16:34:47,283 | INFO | backup | JSON backup updated: 3 file(s)
2026-02-16 17:08:36,815 | INFO | uvicorn.error | Shutting down
2026-02-16 17:08:36,922 | INFO | uvicorn.error | Waiting for application shutdown.
2026-02-16 17:08:37,938 | INFO | app | Application shutdown complete
2026-02-16 17:08:37,938 | INFO | uvicorn.error | Application shutdown complete.
2026-02-16 17:08:37,939 | INFO | uvicorn.error | Finished server process [8108]
2026-02-16 18:03:15,236 | INFO | uvicorn.error | Started server process [6448]
2026-02-16 18:03:15,236 | INFO | uvicorn.error | Waiting for application startup.
2026-02-16 18:03:15,246 | INFO | app | JSON startup check: total=3 ok=3 restored=0 invalid=0
2026-02-16 18:03:15,246 | INFO | app | Application startup complete
2026-02-16 18:03:15,247 | INFO | uvicorn.error | Application startup complete.
2026-02-16 18:03:15,247 | INFO | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-16 18:03:15,248 | INFO | backup | JSON backup updated: 3 file(s)
2026-02-16 18:04:06,266 | INFO | uvicorn.access | 127.0.0.1:60309 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 18:04:14,397 | INFO | uvicorn.access | 127.0.0.1:60422 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 18:07:22,708 | INFO | uvicorn.access | 127.0.0.1:62831 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 18:09:08,019 | INFO | uvicorn.access | 127.0.0.1:64245 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 18:10:09,806 | INFO | uvicorn.access | 127.0.0.1:65034 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 18:11:12,343 | INFO | uvicorn.access | 127.0.0.1:49479 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 18:11:20,145 | INFO | uvicorn.access | 127.0.0.1:49569 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 18:12:08,869 | INFO | uvicorn.access | 127.0.0.1:50265 - "POST /internal/parser-events HTTP/1.1" 200
2026-02-16 18:12:17,432 | INFO | uvicorn.access | 127.0.0.1:50386 - "POST /internal/parser-events HTTP/1.1" 200
